formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,latitude,longitude,displayName,editorialSummary
"119-99 238th St, Cambria Heights, NY 11411, USA",https://maps.google.com/?cid=12015331596457875413,JFK,0.13042035925156809,884.8548387096774,4.158196224949058,40.685186800000004,-73.7267992,Laurelton West Playground,
"Williston Park, NY 11596, USA",https://maps.google.com/?cid=639026119802089156,JFK,0.2330327178407532,2212.5652173913045,10.417070816436036,40.7601625,-73.6591396,Herricks Park,
"S Conduit Av, Francis Lewis Blvd, Queens, NY 11422, USA",https://maps.google.com/?cid=7090660247553856630,JFK,0.1806220113119046,464.21276595744683,2.8949455381453877,40.6651583,-73.7349363,Veterans Triangle,
"Hendrickson Avenue, Hempstead Turnpike, Elmont, NY 11003, USA",https://maps.google.com/?cid=18000032250237033328,JFK,0.13637925236768295,1400.0588235294117,6.026887630914949,40.7087605,-73.7084711,Hendrickson Avenue Park,
"1351-1399 Lincoln Ave, New Hyde Park, NY 11040, USA",https://maps.google.com/?cid=16700133086049010682,JFK,0.048106314015429676,2107.1451612903224,8.38488579354778,40.7374314,-73.68384329999999,New Hyde Park Memorial Park,
"211 Denton Ave, New Hyde Park, NY 11040, USA",https://maps.google.com/?cid=15985304095824666981,JFK,0.05661545991908722,2146.5238095238096,9.12997076058476,40.7457548,-73.674764,Tully Dog Park,
"120-11 237th St, Cambria Heights, NY 11411, USA",https://maps.google.com/?cid=11965768599581958652,JFK,0.20582740398139832,869.7272727272727,4.07377158268926,40.6849075,-73.7288459,Delphin H. Greene Playground,
"1351-1399 Lincoln Ave, New Hyde Park, NY 11040, USA",https://maps.google.com/?cid=11210638287327751097,JFK,0.041569749199606716,2124.1206896551726,8.416789578999621,40.7377685,-73.68342,1351-1399 Lincoln Ave,
"2161 Dutch Broadway, Elmont, NY 11003, USA",https://maps.google.com/?cid=14824060306862213730,JFK,0.16283969415620295,1063.4130434782608,4.864779787892313,40.694431699999996,-73.720343,Dutch Broadway Park,
"251 Floral Pkwy, Floral Park, NY 11001, USA",https://maps.google.com/?cid=2413018570148192099,JFK,0.1698918659019903,1604.6808510638298,6.747503761871637,40.7147478,-73.6963459,Centennial Gardens,
"1801 Evergreen Ave, New Hyde Park, NY 11040, USA",https://maps.google.com/?cid=14238625897665915692,JFK,0.05219589785285691,2131.5757575757575,9.0507814446516,40.7448066,-73.6756163,Michael J. Tully Park,"Sporty park with an athletics track, tennis & basketball courts, baseball fields & a dog area."
"149 Ave &, S Conduit Ave, Springfield Gardens, NY 11413, USA",https://maps.google.com/?cid=5846812539755285375,JFK,0.0842421833620798,378.68333333333334,2.4562453798726693,40.6628115,-73.74318389999999,Brookville Park,"Park with basketball, tennis, bocce & baseball areas, a playground, picnic tables & hike/bike paths."
"143 Brookville Blvd, Rosedale, NY 11422, USA",https://maps.google.com/?cid=2609926779963433086,JFK,0.017441984344381004,369.359375,2.4710505136650305,40.662141399999996,-73.7420901,Playground,
"Francis Lewis Blvd &, Sunrise Hwy, Rosedale, NY 11422, USA",https://maps.google.com/?cid=17740738154413236136,JFK,0.15972702496206614,470.3958333333333,2.894882387778875,40.6654398,-73.73522229999999,Veteran's Square,
"755 Elmont Rd, Elmont, NY 11003, USA",https://maps.google.com/?cid=7250509476958647958,JFK,0.06827357307089602,1034.8909090909092,4.753779196589158,40.6906063,-73.717736,Elmont Road Park,
"Broad Channel, Queens, NY 11692, USA",https://maps.google.com/?cid=17580266585465047640,JFK,0.11231089060740398,1139.5666666666666,1.762283079013639,40.616349199999995,-73.792112,JoCo Marsh,
"Floral Park, NY 11001, USA",https://maps.google.com/?cid=8311482437427305291,JFK,0.06191180167723479,1757.8333333333333,7.231175377535412,40.7231279,-73.6953995,Colonial Gardens Park,
"132 Elmont Rd, Elmont, NY 11003, USA",https://maps.google.com/?cid=9988136815938709832,JFK,0.14277145536001143,1369.0338983050847,5.845203623228109,40.706544799999996,-73.710363,Westover Gardens,
"Brookville Blvd, Jamaica, NY 11430, USA",https://maps.google.com/?cid=14477404915029361061,JFK,0.03795059384178947,262.75,1.7434276010845446,40.651237699999996,-73.7492567,Brookville Boulevard,
